policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment_name,scenario,seed,duration
40,-0.140926547,-0.397004049,-0.016734589,-0.06723808,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.683995425,0.464791632,0.643324851,0.424060823,1.148227269,3.3644,0.233212855,0.613854832,0.681841485,0.54207321,0.955721111,0.766787145,0.386145168,0.318158515,0.45792679,0.044278889,37.37261545,90.1752104,106.4889027,80.09193182,139.9988655,0.605340699,90.82550518,0.233212855,0.204039137,0.209440375,0.155475816,5,3,1,A-priori,chapala_incident,1,1687
41,-0.454480559,-0.552023858,0.018541646,-0.056424098,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.480185316,0.565554508,0.519632423,0.63490002,1.164127733,3.3644,0.163722424,0.746933343,0.550743442,0.811587096,0.968955781,0.836277576,0.253066657,0.449256558,0.188412904,0.031044219,26.23669768,109.7244297,86.01422193,119.9129142,141.937547,0.648388417,96.7651621,0.163722424,0.219335459,0.230887576,0.27036754,5,2,1,A-priori,chapala_incident,1,1687
42,-0.402158623,-0.73737594,-0.462157962,-0.157091321,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.514194575,0.686033361,0.711608314,0.535457066,0.917106684,3.3644,0.17531811,0.906050937,0.754213161,0.684470045,0.763349071,0.82468189,0.093949063,0.245786839,0.315529955,0.236650929,28.0949191,133.0987876,117.7917944,101.1312257,111.8192353,0.656680265,98.38719242,0.17531811,0.184307164,0.187652319,0.439695962,5,1,1,A-priori,chapala_incident,1,1687
43,-0.819411652,-0.867401008,-0.95449326,-0.524903563,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.242980106,0.770549655,0.947109964,0.567593578,0.836166697,3.3644,0.082845707,1.017672429,1.003814578,0.725549865,0.695979086,0.917154293,0.017672429,0.003814578,0.274450135,0.304020914,13.27611521,149.4959732,156.7741408,107.2008157,101.950539,0.705172333,105.7395168,0.082845707,0.25310612,0.247030558,0.791552371,3,1,1,A-priori,chapala_incident,1,1687
44,0.074790822,-0.72949268,-0.613289181,-0.086513578,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.824211714,0.680909242,0.814967726,0.27131546,0.772995858,3.3644,0.281020545,0.899283463,0.863760825,0.34682016,0.64339916,0.718979455,0.100716537,0.136239175,0.65317984,0.35660084,45.03385013,132.1046464,134.9007717,51.24307206,94.24836531,0.606856831,91.50614113,0.281020545,0.227827697,0.231153895,0.376021565,5,3,1,A-priori,chapala_incident,1,1687
45,-0.316633608,-0.862260511,-0.506495633,-0.058002383,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.569785835,0.767208332,0.659252829,0.544273616,0.823879387,3.3644,0.194272325,1.013259511,0.69872309,0.695740164,0.685751806,0.805727675,0.013259511,0.30127691,0.304259836,0.314248194,31.13235283,148.8477159,109.1254446,102.7963985,100.4523953,0.657549379,98.47086144,0.194272325,0.19831554,0.200860432,0.435848033,4,1,1,A-priori,chapala_incident,1,1687
46,0.046025182,-0.135509242,-0.087263525,-0.159182338,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.805514048,0.294820008,0.859140283,0.242778432,1.162147228,3.3644,0.27464545,0.389371653,0.910578047,0.310341528,0.967307318,0.72535455,0.610628347,0.089421953,0.689658472,0.032692682,44.01223413,57.19865506,142.2126099,45.85331292,141.6960717,0.570448799,86.19457675,0.27464545,0.271240741,0.278455876,0.106995072,4,3,2,A-priori,chapala_incident,1,1687
47,-0.118075485,-0.409475335,0.012506416,-0.074990002,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.698848614,0.472897967,0.616211862,0.404168884,1.172272671,3.3644,0.23827715,0.624560948,0.653105209,0.51664552,0.975735179,0.76172285,0.375439052,0.346894791,0.48335448,0.024264821,38.18417431,91.74793782,102.0009175,76.33496178,142.9306274,0.601664801,90.23972377,0.23827715,0.208474807,0.214255611,0.153761809,4,3,1,A-priori,chapala_incident,1,1687
48,-0.533515984,-0.484061815,-0.298421186,-0.005879614,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.42881229,0.52137918,0.769833591,0.719126961,0.925247978,3.3644,0.146206444,0.688590557,0.815924455,0.919253652,0.770125435,0.853793556,0.311409443,0.184075545,0.080746348,0.229874565,23.42974272,101.1538807,127.4297647,135.82077,112.8118716,0.668020109,100.1292059,0.146206444,0.20058718,0.200404544,0.33046965,5,1,1,A-priori,chapala_incident,1,1687
49,-0.460234089,-0.862260511,-0.472864446,-0.058002383,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.476445522,0.767208332,0.637392558,0.637613929,0.845739659,3.3644,0.162447316,1.013259511,0.675554018,0.815056262,0.703947092,0.837552684,0.013259511,0.324445982,0.184943738,0.296052908,26.03236023,148.8477159,105.5069363,120.4254874,103.1177328,0.67405284,100.7860465,0.162447316,0.208710213,0.21851422,0.463340357,4,1,1,A-priori,chapala_incident,1,1687
