policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment_name,scenario,seed,duration
163,-880,-74,-958,-389,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.419,0.312,0.876,0.565,0.019,2.191,0.143,0.412,0.928,0.723,0.016,0.857,0.588,0.072,0.277,0.984,22.896,60.583,144.939,106.751,2.319,0.444,67.498,0.016,0.437,0.433,0.575,4.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
164,-570,-138,-945,-408,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.621,0.354,0.826,0.351,0.04,2.191,0.212,0.467,0.875,0.449,0.033,0.788,0.533,0.125,0.551,0.967,33.906,68.654,136.654,66.362,4.855,0.407,62.086,0.033,0.384,0.381,0.515,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
165,-951,-326,-489,-296,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.373,0.476,0.407,0.672,0.263,2.191,0.127,0.629,0.431,0.859,0.219,0.873,0.371,0.569,0.141,0.781,20.374,92.363,67.363,126.885,32.118,0.453,67.821,0.127,0.322,0.331,0.516,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
166,321,311,-467,-17,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.2,0.062,0.807,0.026,0.096,2.191,0.409,0.082,0.855,0.034,0.08,0.591,0.918,0.145,0.966,0.92,65.55,12.032,133.534,4.979,11.75,0.292,45.569,0.034,0.546,0.54,0.279,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
167,-831,134,-589,-23,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.451,0.177,0.771,0.771,0.021,2.191,0.154,0.234,0.817,0.986,0.017,0.846,0.766,0.183,0.014,0.983,24.636,34.353,127.616,145.668,2.557,0.442,66.966,0.017,0.465,0.471,0.394,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
168,-996,73,110,-58,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.344,0.217,0.277,0.856,0.498,2.191,0.117,0.286,0.294,1.094,0.415,0.883,0.714,0.706,0.094,0.585,18.776,42.046,45.845,161.627,60.728,0.441,65.804,0.117,0.37,0.378,0.309,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
169,-565,213,77,-442,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.624,0.126,0.389,0.326,0.726,2.191,0.213,0.166,0.413,0.417,0.604,0.787,0.834,0.587,0.583,0.396,34.083,24.391,64.458,61.574,88.545,0.363,54.61,0.166,0.232,0.239,0.324,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
170,-727,150,479,-49,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.518,0.167,0.087,0.687,0.732,2.191,0.177,0.22,0.092,0.878,0.609,0.823,0.78,0.908,0.122,0.391,28.33,32.335,14.427,129.709,89.258,0.395,58.812,0.092,0.397,0.405,0.351,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
171,-969,-656,-782,-735,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.361,0.691,0.383,0.398,0.358,2.191,0.123,0.912,0.406,0.509,0.298,0.877,0.088,0.594,0.491,0.702,19.735,133.978,63.382,75.201,43.688,0.45,67.197,0.123,0.31,0.318,0.786,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
172,-826,-307,-742,-296,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.454,0.464,0.584,0.591,0.099,2.191,0.155,0.612,0.619,0.755,0.082,0.845,0.388,0.381,0.245,0.918,24.814,89.967,96.629,111.539,12.067,0.445,67.003,0.082,0.323,0.325,0.543,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
173,-751,22,11,-657,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.503,0.25,0.308,0.307,0.823,2.191,0.171,0.33,0.327,0.393,0.685,0.829,0.67,0.673,0.607,0.315,27.477,48.477,51.009,58.014,100.354,0.381,57.066,0.171,0.218,0.229,0.36,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
174,-831,54,-452,-58,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.451,0.229,0.63,0.749,0.133,2.191,0.154,0.303,0.668,0.957,0.111,0.846,0.697,0.332,0.043,0.889,24.636,44.442,104.268,141.371,16.188,0.438,66.181,0.111,0.399,0.403,0.349,5.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
175,-729,90,254,-998,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.517,0.206,0.194,0.071,1.203,2.191,0.176,0.272,0.206,0.091,1.001,0.824,0.728,0.794,0.909,0.001,28.259,39.902,32.18,13.45,146.637,0.349,52.086,0.091,0.427,0.439,0.518,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
176,-613,-813,-701,-192,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.593,0.793,0.228,0.52,0.058,2.191,0.202,1.047,0.242,0.664,0.048,0.798,0.047,0.758,0.336,0.952,32.378,153.777,37.775,98.158,7.074,0.441,65.833,0.048,0.436,0.446,0.58,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
177,-850,121,-726,-888,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.439,0.186,0.852,0.221,0.494,2.191,0.15,0.245,0.903,0.283,0.411,0.85,0.755,0.097,0.717,0.589,23.961,35.992,140.958,41.809,60.252,0.398,60.594,0.15,0.341,0.336,0.646,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
178,-104,377,784,-441,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.923,0.019,0.036,0.027,1.185,2.191,0.315,0.025,0.039,0.035,0.986,0.685,0.975,0.961,0.965,0.014,50.456,3.709,6.035,5.102,144.497,0.28,41.96,0.025,0.623,0.629,0.427,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
179,-461,164,-738,-280,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.691,0.158,0.887,0.364,0.091,2.191,0.236,0.208,0.94,0.465,0.076,0.764,0.792,0.06,0.535,0.924,37.777,30.57,146.875,68.694,11.116,0.385,59.006,0.076,0.42,0.413,0.411,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
180,-293,334,545,-384,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.801,0.047,0.164,0.187,0.993,2.191,0.273,0.062,0.174,0.239,0.826,0.727,0.938,0.826,0.761,0.174,43.743,9.131,27.123,35.302,121.038,0.315,47.268,0.062,0.407,0.414,0.389,5.0,4.0,4.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
181,-668,-86,-583,-160,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.557,0.32,0.624,0.576,0.114,2.191,0.19,0.423,0.661,0.737,0.095,0.81,0.577,0.339,0.263,0.905,30.425,62.097,103.3,108.838,13.89,0.421,63.71,0.095,0.33,0.333,0.374,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
182,-322,377,217,-448,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.782,0.019,0.405,0.164,0.821,2.191,0.267,0.025,0.429,0.21,0.683,0.733,0.975,0.571,0.79,0.317,42.713,3.709,67.041,31.006,100.116,0.323,48.917,0.025,0.374,0.381,0.341,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
183,-312,399,-500,-25,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.788,0.005,0.885,0.433,0.08,2.191,0.269,0.006,0.938,0.553,0.067,0.731,0.994,0.062,0.447,0.933,43.068,0.934,146.552,81.707,9.769,0.367,56.406,0.006,0.515,0.513,0.309,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
184,-572,12,-150,-10,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.619,0.256,0.406,0.611,0.298,2.191,0.211,0.339,0.431,0.782,0.248,0.789,0.661,0.569,0.218,0.752,33.835,49.738,67.256,115.468,36.318,0.402,60.523,0.211,0.257,0.263,0.186,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
185,-809,-806,-964,-385,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.465,0.788,0.404,0.522,0.013,2.191,0.159,1.041,0.428,0.667,0.01,0.841,0.041,0.572,0.333,0.99,25.417,152.894,66.825,98.526,1.526,0.461,69.038,0.01,0.436,0.446,0.741,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
186,-952,-299,-755,-944,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.372,0.459,0.597,0.251,0.512,2.191,0.127,0.606,0.633,0.321,0.426,0.873,0.394,0.367,0.679,0.574,20.339,88.958,98.888,47.456,62.392,0.423,63.607,0.127,0.25,0.246,0.738,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
187,-219,167,-743,-272,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.849,0.156,0.893,0.212,0.083,2.191,0.289,0.206,0.946,0.271,0.069,0.711,0.794,0.054,0.729,0.931,46.371,30.191,147.736,39.967,10.086,0.356,54.87,0.069,0.425,0.413,0.35,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
188,-864,-344,-426,-50,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.429,0.488,0.354,0.775,0.144,2.191,0.146,0.644,0.376,0.991,0.12,0.854,0.356,0.624,0.009,0.88,23.464,94.633,58.648,146.405,17.615,0.455,68.153,0.12,0.386,0.393,0.421,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
189,8,215,382,-186,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.996,0.124,0.192,0.12,0.758,2.191,0.34,0.164,0.204,0.153,0.631,0.66,0.836,0.796,0.847,0.369,54.433,24.138,31.857,22.658,92.428,0.298,45.103,0.153,0.301,0.303,0.198,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
190,-586,185,261,-649,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.61,0.144,0.252,0.205,0.98,2.191,0.208,0.19,0.267,0.262,0.816,0.792,0.81,0.733,0.738,0.184,33.337,27.922,41.648,38.74,119.533,0.349,52.236,0.19,0.293,0.301,0.42,5.0,4.0,4.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
191,-386,-59,-187,-384,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.74,0.303,0.384,0.247,0.517,2.191,0.252,0.4,0.407,0.316,0.43,0.748,0.6,0.593,0.684,0.57,40.44,58.692,63.598,46.719,63.026,0.361,54.495,0.252,0.092,0.099,0.254,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
192,-94,-118,-256,-1,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.93,0.341,0.391,0.307,0.223,2.191,0.317,0.45,0.414,0.392,0.186,0.683,0.55,0.586,0.608,0.814,50.811,66.132,64.674,57.891,27.204,0.352,53.342,0.186,0.138,0.142,0.117,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
193,-148,313,-190,-16,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.895,0.061,0.628,0.332,0.276,2.191,0.305,0.08,0.666,0.424,0.23,0.695,0.92,0.334,0.576,0.77,48.893,11.78,103.945,62.679,33.623,0.341,52.184,0.08,0.327,0.32,0.167,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
194,-206,-69,-229,-24,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.857,0.309,0.405,0.364,0.256,2.191,0.292,0.408,0.429,0.466,0.213,0.708,0.592,0.571,0.534,0.787,46.833,59.953,67.041,68.817,31.167,0.362,54.762,0.213,0.14,0.142,0.132,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
195,-555,-126,295,-512,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.63,0.346,0.027,0.274,0.913,2.191,0.215,0.457,0.029,0.35,0.76,0.785,0.543,0.971,0.65,0.24,34.438,67.141,4.529,51.753,111.37,0.362,53.846,0.029,0.366,0.376,0.372,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
196,-828,-590,-723,-185,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.453,0.648,0.387,0.664,0.039,2.191,0.154,0.855,0.411,0.849,0.033,0.846,0.145,0.589,0.151,0.967,24.743,125.655,64.136,125.412,4.776,0.46,68.944,0.033,0.397,0.407,0.582,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
197,-919,-360,-362,-408,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.394,0.498,0.302,0.578,0.419,2.191,0.134,0.658,0.32,0.739,0.349,0.866,0.342,0.68,0.261,0.651,21.511,96.65,50.041,109.207,51.059,0.44,65.694,0.134,0.27,0.281,0.512,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
198,-370,-69,-68,-23,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.751,0.309,0.3,0.472,0.36,2.191,0.256,0.408,0.318,0.603,0.299,0.744,0.592,0.682,0.397,0.701,41.009,59.953,49.718,89.073,43.847,0.377,56.72,0.256,0.158,0.17,0.132,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
199,-613,-827,-459,-273,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.593,0.802,0.062,0.467,0.268,2.191,0.202,1.059,0.066,0.597,0.223,0.798,0.059,0.934,0.403,0.777,32.378,155.543,10.231,88.214,32.672,0.429,63.808,0.066,0.434,0.444,0.543,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
200,-489,-877,-724,-529,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.673,0.834,0.202,0.22,0.262,2.191,0.23,1.102,0.214,0.281,0.218,0.77,0.102,0.786,0.719,0.782,36.782,161.848,33.364,41.563,31.959,0.409,61.103,0.214,0.351,0.36,0.655,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
201,-566,117,15,-129,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.623,0.188,0.367,0.53,0.482,2.191,0.212,0.248,0.389,0.678,0.402,0.788,0.752,0.611,0.322,0.598,34.048,36.497,60.8,100.122,58.826,0.386,58.058,0.212,0.216,0.225,0.207,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
202,-601,403,-692,-193,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.6,0.002,1.013,0.511,0.065,2.191,0.205,0.003,1.073,0.654,0.054,0.795,0.997,0.073,0.346,0.946,32.805,0.43,167.641,96.562,7.867,0.398,61.061,0.003,0.554,0.551,0.472,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
203,-904,402,790,-449,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.403,0.003,0.049,0.542,1.194,2.191,0.138,0.004,0.052,0.693,0.994,0.862,0.996,0.948,0.307,0.006,22.044,0.556,8.079,102.332,145.606,0.376,55.723,0.004,0.552,0.558,0.636,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
204,-663,-114,-283,-465,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.56,0.338,0.411,0.375,0.507,2.191,0.191,0.447,0.435,0.479,0.422,0.809,0.553,0.565,0.521,0.578,30.603,65.628,68.009,70.781,61.837,0.395,59.372,0.191,0.117,0.122,0.381,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
205,-464,-754,-538,-209,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.689,0.754,0.161,0.412,0.175,2.191,0.235,0.996,0.17,0.526,0.146,0.765,0.004,0.83,0.474,0.854,37.67,146.337,26.585,77.779,21.339,0.415,61.942,0.146,0.389,0.397,0.491,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
206,-382,-666,-800,-209,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.743,0.697,0.388,0.359,0.005,2.191,0.253,0.921,0.411,0.458,0.004,0.747,0.079,0.589,0.542,0.996,40.582,135.239,64.243,67.712,0.575,0.409,61.671,0.004,0.385,0.398,0.514,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
207,-662,122,-361,-160,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.561,0.185,0.615,0.572,0.258,2.191,0.191,0.244,0.652,0.732,0.215,0.809,0.756,0.348,0.268,0.785,30.638,35.866,101.793,108.102,31.484,0.407,61.577,0.191,0.293,0.299,0.326,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
208,-376,101,-43,-185,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.747,0.199,0.395,0.37,0.481,2.191,0.255,0.262,0.418,0.473,0.4,0.745,0.738,0.582,0.527,0.6,40.796,38.515,65.319,69.922,58.667,0.362,54.644,0.255,0.128,0.131,0.176,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
209,-943,-82,-30,-969,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.378,0.317,0.267,0.229,0.999,2.191,0.129,0.419,0.283,0.293,0.832,0.871,0.581,0.717,0.707,0.168,20.658,61.592,44.231,43.282,121.831,0.391,58.319,0.129,0.303,0.315,0.506,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
210,-74,-458,-478,-271,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.943,0.562,0.314,0.118,0.254,2.191,0.322,0.742,0.333,0.151,0.212,0.678,0.258,0.667,0.849,0.788,51.521,109.009,51.978,22.289,31.008,0.352,53.161,0.151,0.293,0.296,0.32,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
211,-962,201,439,-456,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.366,0.134,0.146,0.575,0.971,2.191,0.125,0.176,0.155,0.735,0.808,0.875,0.824,0.845,0.265,0.192,19.984,25.904,24.218,108.593,118.344,0.4,59.408,0.125,0.379,0.389,0.514,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
212,-389,-562,-602,-9,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.738,0.629,0.327,0.493,0.003,2.191,0.252,0.831,0.347,0.63,0.003,0.748,0.169,0.653,0.37,0.997,40.334,122.124,54.129,93.125,0.417,0.413,62.026,0.003,0.382,0.395,0.39,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
213,-998,319,33,-528,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.342,0.057,0.487,0.552,0.754,2.191,0.117,0.075,0.516,0.705,0.627,0.883,0.925,0.484,0.295,0.373,18.705,11.023,80.597,104.173,91.874,0.408,61.275,0.075,0.339,0.347,0.47,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
214,-982,352,306,-256,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.353,0.035,0.331,0.718,0.754,2.191,0.12,0.047,0.351,0.918,0.628,0.88,0.953,0.649,0.082,0.372,19.273,6.862,54.775,135.601,91.953,0.413,61.693,0.047,0.428,0.436,0.474,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
215,-389,-9,386,-701,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.738,0.27,0.044,0.043,1.095,2.191,0.252,0.357,0.047,0.055,0.912,0.748,0.643,0.953,0.945,0.088,40.334,52.386,7.326,8.171,133.56,0.324,48.356,0.047,0.491,0.501,0.371,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
216,-604,88,485,-530,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.598,0.207,0.043,0.294,1.049,2.191,0.204,0.273,0.046,0.376,0.873,0.796,0.727,0.954,0.624,0.127,32.698,40.154,7.111,55.559,127.854,0.354,52.675,0.046,0.401,0.412,0.427,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
217,-215,-350,50,-8,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.851,0.492,0.041,0.381,0.427,2.191,0.29,0.649,0.043,0.487,0.355,0.71,0.351,0.957,0.513,0.645,46.513,95.389,6.788,71.886,52.01,0.365,54.517,0.043,0.297,0.309,0.156,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
218,-511,-744,-858,-753,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.659,0.748,0.375,0.089,0.321,2.191,0.225,0.988,0.398,0.113,0.267,0.775,0.012,0.602,0.887,0.733,36.001,145.076,62.091,16.765,39.092,0.398,59.805,0.113,0.378,0.386,0.716,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
219,-823,-85,-266,-968,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.456,0.319,0.419,0.152,0.845,2.191,0.156,0.422,0.444,0.194,0.703,0.844,0.578,0.556,0.806,0.297,24.92,61.971,69.3,28.673,103.048,0.384,57.582,0.156,0.274,0.281,0.536,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
220,-943,377,528,-448,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.378,0.019,0.203,0.568,1.023,2.191,0.129,0.025,0.215,0.726,0.852,0.871,0.975,0.785,0.274,0.148,20.658,3.709,33.579,107.243,124.763,0.389,57.99,0.025,0.453,0.462,0.574,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
221,-725,157,-397,-920,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.52,0.162,0.661,0.119,0.729,2.191,0.177,0.214,0.701,0.153,0.607,0.823,0.786,0.299,0.847,0.393,28.401,31.453,109.433,22.535,88.862,0.37,56.137,0.153,0.334,0.33,0.55,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
222,-938,-396,-552,-624,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.381,0.522,0.402,0.45,0.436,2.191,0.13,0.689,0.427,0.575,0.363,0.87,0.311,0.573,0.425,0.637,20.836,101.19,66.61,85.022,53.119,0.437,65.356,0.13,0.236,0.244,0.628,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
223,-956,-600,-310,-882,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.37,0.654,0.113,0.294,0.761,2.191,0.126,0.864,0.119,0.376,0.633,0.874,0.136,0.881,0.624,0.367,20.197,126.916,18.623,55.559,92.745,0.424,62.808,0.119,0.368,0.377,0.687,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
224,-503,362,-154,-338,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.664,0.029,0.636,0.353,0.508,2.191,0.226,0.038,0.675,0.452,0.423,0.774,0.962,0.325,0.548,0.577,36.285,5.6,105.344,66.73,61.996,0.363,55.191,0.038,0.333,0.33,0.339,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
225,-442,-37,-235,-761,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.704,0.288,0.43,0.039,0.731,2.191,0.24,0.381,0.455,0.049,0.608,0.76,0.619,0.545,0.951,0.392,38.452,55.917,71.129,7.312,89.1,0.347,52.382,0.049,0.3,0.308,0.369,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
